HUMAN HOLO · LEGAL REVIEW - NPM LICENSE INVENTORY

@capacitor/android@7.6.8 | MIT | runtime/transitive
@capacitor/assets@3.0.5 | MIT | dev
@capacitor/assets/node_modules/@capacitor/cli@5.7.8 | MIT | dev
@capacitor/assets/node_modules/@capacitor/cli/node_modules/commander@9.5.0 | MIT | dev
@capacitor/assets/node_modules/@ionic/utils-process@2.1.11 | MIT | dev
@capacitor/assets/node_modules/@ionic/utils-stream@3.1.6 | MIT | dev
@capacitor/assets/node_modules/@ionic/utils-subprocess@2.1.14 | MIT | dev
@capacitor/assets/node_modules/@ionic/utils-terminal@2.3.4 | MIT | dev
@capacitor/assets/node_modules/balanced-match@1.0.2 | MIT | dev
@capacitor/assets/node_modules/brace-expansion@2.1.4 | MIT | dev
@capacitor/assets/node_modules/chownr@2.0.0 | ISC | dev
@capacitor/assets/node_modules/glob@9.3.5 | ISC | dev
@capacitor/assets/node_modules/lru-cache@10.4.3 | ISC | dev
@capacitor/assets/node_modules/minimatch@8.0.7 | ISC | dev
@capacitor/assets/node_modules/minipass@4.2.8 | ISC | dev
@capacitor/assets/node_modules/minizlib@2.1.2 | MIT | dev
@capacitor/assets/node_modules/minizlib/node_modules/minipass@3.3.6 | ISC | dev
@capacitor/assets/node_modules/path-scurry@1.11.1 | BlueOak-1.0.0 | dev
@capacitor/assets/node_modules/path-scurry/node_modules/minipass@7.1.3 | BlueOak-1.0.0 | dev
@capacitor/assets/node_modules/rimraf@4.4.1 | ISC | dev
@capacitor/assets/node_modules/tar@6.2.1 | ISC | dev
@capacitor/assets/node_modules/tar/node_modules/minipass@5.0.0 | ISC | dev
@capacitor/assets/node_modules/xml2js@0.5.0 | MIT | dev
@capacitor/assets/node_modules/xmlbuilder@11.0.1 | MIT | dev
@capacitor/assets/node_modules/yallist@4.0.0 | ISC | dev
@capacitor/cli@7.6.8 | MIT | dev
@capacitor/cli/node_modules/commander@12.1.0 | MIT | dev
@capacitor/cli/node_modules/debug@4.4.3 | MIT | dev
@capacitor/cli/node_modules/fs-extra@11.4.0 | MIT | dev
@capacitor/cli/node_modules/ms@2.1.3 | MIT | dev
@capacitor/cli/node_modules/tslib@2.8.1 | 0BSD | dev
@capacitor/core@7.6.8 | MIT | runtime/transitive
@ionic/cli-framework-output@2.2.8 | MIT | dev
@ionic/utils-array@2.1.6 | MIT | dev
@ionic/utils-fs@3.1.7 | MIT | dev
@ionic/utils-fs/node_modules/fs-extra@9.1.0 | MIT | dev
@ionic/utils-object@2.1.6 | MIT | dev
@ionic/utils-process@2.1.12 | MIT | dev
@ionic/utils-stream@3.1.7 | MIT | dev
@ionic/utils-subprocess@3.0.1 | MIT | dev
@ionic/utils-terminal@2.3.5 | MIT | dev
@isaacs/cliui@8.0.2 | ISC | runtime/transitive
@isaacs/cliui/node_modules/ansi-regex@6.3.0 | MIT | runtime/transitive
@isaacs/cliui/node_modules/ansi-styles@6.2.3 | MIT | runtime/transitive
@isaacs/cliui/node_modules/emoji-regex@9.2.2 | MIT | runtime/transitive
@isaacs/cliui/node_modules/string-width@5.1.2 | MIT | runtime/transitive
@isaacs/cliui/node_modules/strip-ansi@7.2.0 | MIT | runtime/transitive
@isaacs/cliui/node_modules/wrap-ansi@8.1.0 | MIT | runtime/transitive
@isaacs/fs-minipass@4.0.1 | ISC | dev
@mediapipe/tasks-vision@1.0.1 | Apache-2.0 | runtime/transitive
@pkgjs/parseargs@0.11.0 | MIT | runtime/transitive
@prettier/plugin-xml@2.2.0 | MIT | dev
@trapezedev/gradle-parse@7.1.10 | declared: SEE LICENSE | reviewed: MIT | dev | evidence: ionic-team/trapeze LICENSE; Copyright 2015-present Drifty Co.
@trapezedev/project@7.1.10 | declared: SEE LICENSE | reviewed: MIT | dev | evidence: ionic-team/trapeze LICENSE; Copyright 2015-present Drifty Co.
@trapezedev/project/node_modules/@ionic/utils-process@2.1.11 | MIT | dev
@trapezedev/project/node_modules/@ionic/utils-stream@3.1.6 | MIT | dev
@trapezedev/project/node_modules/@ionic/utils-subprocess@2.1.14 | MIT | dev
@trapezedev/project/node_modules/@ionic/utils-terminal@2.3.4 | MIT | dev
@types/fs-extra@8.1.5 | MIT | dev
@types/node@26.4.0 | MIT | dev
@types/slice-ansi@4.0.0 | MIT | dev
@xml-tools/parser@1.0.11 | Apache-2.0 | dev
@xmldom/xmldom@0.9.12 | MIT | dev
accepts@2.0.0 | MIT | runtime/transitive
agent-base@7.1.4 | MIT | runtime/transitive
ansi-regex@5.0.1 | MIT | runtime/transitive
ansi-styles@4.3.0 | MIT | runtime/transitive
astral-regex@2.0.0 | MIT | dev
at-least-node@1.0.0 | ISC | dev
b4a@1.8.1 | Apache-2.0 | dev
balanced-match@4.0.4 | MIT | dev
bare-events@2.9.2 | Apache-2.0 | dev
bare-fs@4.8.1 | Apache-2.0 | dev
bare-path@3.1.1 | Apache-2.0 | dev
bare-stream@2.13.4 | Apache-2.0 | dev
bare-url@2.5.2 | Apache-2.0 | dev
base64-js@1.5.1 | MIT | runtime/transitive
big-integer@1.6.52 | Unlicense | dev
bignumber.js@9.3.1 | MIT | runtime/transitive
bl@4.1.0 | MIT | dev
